id,final selection,ontology order,acronym,name,voxel count
8,0,2,grey,Basic cell groups and regions,417724
567,0,3,CH,Cerebrum,261163
688,0,4,CTX,Cerebral cortex,211332
695,0,5,CTXpl,Cortical plate,203603
315,0,6,Isocortex,Isocortex,121591
184,1,7,FRP,"Frontal pole, cerebral cortex",514
68,0,8,FRP1,"Frontal pole, layer 1",429
667,0,9,FRP2/3,"Frontal pole, layer 2/3",85
500,0,10,MO,Somatomotor areas,21858
107,0,11,MO1,"Somatomotor areas, Layer 1",0
219,0,12,MO2/3,"Somatomotor areas, Layer 2/3",0
299,0,13,MO5,"Somatomotor areas, Layer 5",0
644,0,14,MO6a,"Somatomotor areas, Layer 6a",0
947,0,15,MO6b,"Somatomotor areas, Layer 6b",0
985,1,16,MOp,Primary motor area,11760
320,0,17,MOp1,"Primary motor area, Layer 1",1768
943,0,18,MOp2/3,"Primary motor area, Layer 2/3",3921
648,0,19,MOp5,"Primary motor area, Layer 5",3526
844,0,20,MOp6a,"Primary motor area, Layer 6a",2274
882,0,21,MOp6b,"Primary motor area, Layer 6b",271
993,1,22,MOs,Secondary motor area,10098
656,0,23,MOs1,"Secondary motor area, layer 1",2064
962,0,24,MOs2/3,"Secondary motor area, layer 2/3",3293
767,0,25,MOs5,"Secondary motor area, layer 5",3116
1021,0,26,MOs6a,"Secondary motor area, layer 6a",1507
1085,0,27,MOs6b,"Secondary motor area, layer 6b",118
453,0,28,SS,Somatosensory areas,36734
12993,0,29,SS1,"Somatosensory areas, layer 1",0
12994,0,30,SS2/3,"Somatosensory areas, layer 2/3",0
12995,0,31,SS4,"Somatosensory areas, layer 4",0
12996,0,32,SS5,"Somatosensory areas, layer 5",0
12997,0,33,SS6a,"Somatosensory areas, layer 6a",0
12998,0,34,SS6b,"Somatosensory areas, layer 6b",0
322,0,35,SSp,Primary somatosensory area,31005
793,0,36,SSp1,"Primary somatosensory area, layer 1",0
346,0,37,SSp2/3,"Primary somatosensory area, layer 2/3",0
865,0,38,SSp4,"Primary somatosensory area, layer 4",0
921,0,39,SSp5,"Primary somatosensory area, layer 5",0
686,0,40,SSp6a,"Primary somatosensory area, layer 6a",0
719,0,41,SSp6b,"Primary somatosensory area, layer 6b",0
353,1,42,SSp-n,"Primary somatosensory area, nose",1358
558,0,43,SSp-n1,"Primary somatosensory area, nose, layer 1",172
838,0,44,SSp-n2/3,"Primary somatosensory area, nose, layer 2/3",380
654,0,45,SSp-n4,"Primary somatosensory area, nose, layer 4",164
702,0,46,SSp-n5,"Primary somatosensory area, nose, layer 5",332
889,0,47,SSp-n6a,"Primary somatosensory area, nose, layer 6a",263
929,0,48,SSp-n6b,"Primary somatosensory area, nose, layer 6b",47
329,1,49,SSp-bfd,"Primary somatosensory area, barrel field",10306
981,0,50,SSp-bfd1,"Primary somatosensory area, barrel field, layer 1",1028
201,0,51,SSp-bfd2/3,"Primary somatosensory area, barrel field, layer 2/3",2981
1047,0,52,SSp-bfd4,"Primary somatosensory area, barrel field, layer 4",1350
1070,0,53,SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",2457
1038,0,54,SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a",2175
1062,0,55,SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",315
337,1,56,SSp-ll,"Primary somatosensory area, lower limb",3254
1030,0,57,SSp-ll1,"Primary somatosensory area, lower limb, layer 1",365
113,0,58,SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3",836
1094,0,59,SSp-ll4,"Primary somatosensory area, lower limb, layer 4",316
1128,0,60,SSp-ll5,"Primary somatosensory area, lower limb, layer 5",891
478,0,61,SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",744
510,0,62,SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b",102
345,1,63,SSp-m,"Primary somatosensory area, mouth",2924
878,0,64,SSp-m1,"Primary somatosensory area, mouth, layer 1",367
657,0,65,SSp-m2/3,"Primary somatosensory area, mouth, layer 2/3",807
950,0,66,SSp-m4,"Primary somatosensory area, mouth, layer 4",296
974,0,67,SSp-m5,"Primary somatosensory area, mouth, layer 5",799
1102,0,68,SSp-m6a,"Primary somatosensory area, mouth, layer 6a",565
2,0,69,SSp-m6b,"Primary somatosensory area, mouth, layer 6b",90
369,1,70,SSp-ul,"Primary somatosensory area, upper limb",5406
450,0,71,SSp-ul1,"Primary somatosensory area, upper limb, layer 1",591
854,0,72,SSp-ul2/3,"Primary somatosensory area, upper limb, layer 2/3",1525
577,0,73,SSp-ul4,"Primary somatosensory area, upper limb, layer 4",566
625,0,74,SSp-ul5,"Primary somatosensory area, upper limb, layer 5",1421
945,0,75,SSp-ul6a,"Primary somatosensory area, upper limb, layer 6a",1140
1026,0,76,SSp-ul6b,"Primary somatosensory area, upper limb, layer 6b",163
361,1,77,SSp-tr,"Primary somatosensory area, trunk",4799
1006,0,78,SSp-tr1,"Primary somatosensory area, trunk, layer 1",521
670,0,79,SSp-tr2/3,"Primary somatosensory area, trunk, layer 2/3",1374
1086,0,80,SSp-tr4,"Primary somatosensory area, trunk, layer 4",536
1111,0,81,SSp-tr5,"Primary somatosensory area, trunk, layer 5",1269
9,0,82,SSp-tr6a,"Primary somatosensory area, trunk, layer 6a",960
461,0,83,SSp-tr6b,"Primary somatosensory area, trunk, layer 6b",139
182305689,1,84,SSp-un,"Primary somatosensory area, unassigned",2958
182305693,0,85,SSp-un1,"Primary somatosensory area, unassigned, layer 1",368
182305697,0,86,SSp-un2/3,"Primary somatosensory area, unassigned, layer 2/3",808
182305701,0,87,SSp-un4,"Primary somatosensory area, unassigned, layer 4",250
182305705,0,88,SSp-un5,"Primary somatosensory area, unassigned, layer 5",897
182305709,0,89,SSp-un6a,"Primary somatosensory area, unassigned, layer 6a",578
182305713,0,90,SSp-un6b,"Primary somatosensory area, unassigned, layer 6b",57
378,1,91,SSs,Supplemental somatosensory area,5729
873,0,92,SSs1,"Supplemental somatosensory area, layer 1",704
806,0,93,SSs2/3,"Supplemental somatosensory area, layer 2/3",1449
1035,0,94,SSs4,"Supplemental somatosensory area, layer 4",674
1090,0,95,SSs5,"Supplemental somatosensory area, layer 5",1386
862,0,96,SSs6a,"Supplemental somatosensory area, layer 6a",1264
893,0,97,SSs6b,"Supplemental somatosensory area, layer 6b",252
1057,1,98,GU,Gustatory areas,2104
